0.0;0.41002098635886675 0.47125289724439867 0.0 0.453125 0.48026315789473684 0.2890625 0.319672131147541 0.0 0.3402777777777778 0.43504098360655735 0.3181818181818182
0.5;0.48288690476190477 0.47689075630252103 0.47125289724439867 0.5714285714285714 0.49139953088350274 0.4605263157894737 0.5 0.4417355371900826 0.4519230769230769 0.48288690476190477 0.53125 0.49642857142857144 0.46747967479674796 0.44086021505376344 0.44490358126721763 0.4519230769230769 0.41712555066079293 0.2777777777777778 0.4917677642980936 0.3630434782608696 0.4411764705882353 0.3828125 0.4375 0.39763779527559057
0.75;0.32975460122699385 0.3435960591133005 0.75 0.4565767284991568 0.47520661157024796 0.6193181818181818 0.4355439642324888 0.48046875 0.41712555066079293 0.3993055555555556 0.4411764705882353 0.5262096774193549 0.47125289724439867 0.4166666666666667 0.49139953088350274 0.47125289724439867 0.6666666666666666 0.43504098360655735 0.3489583333333333
0.0;0.39278350515463917 0.36620603015075376 0.3611111111111111 0.4537037037037037 0.44385216773276476 0.5078125 0.41712555066079293 0.43548387096774194 0.34782608695652173 0.34375 0.46938775510204084 0.25
0.5;0.47125289724439867 0.48360655737704916 0.5 0.4519230769230769 0.477803738317757 0.47125289724439867 0.4215686274509804 0.49139953088350274 0.4346153846153846 0.4083333333333333
1.0;0.47125289724439867 0.6666666666666666 0.5625 0.49470232088799193 0.492619926199262 0.5613333333333334 0.7272727272727273 1.0 0.4917677642980936 0.47125289724439867 0.5451923076923076 0.5171232876712328 0.48890063424947144 0.5711845102505695 0.47125289724439867 0.5535714285714286 0.5318627450980392 0.49139953088350274 0.875 0.9166666666666666 0.85 0.46153846153846156 0.4868421052631579 0.47125289724439867 0.5451923076923076 0.46964285714285714 0.675
0.25;0.4537037037037037 0.25 0.48376313276026744 0.44188376753507014 0.5357142857142857 0.4917677642980936 0.47125289724439867 0.4732142857142857 0.5098468271334792 0.4375 0.44902482269503546 0.48890063424947144 0.4981481481481482
0.5;0.4375 0.47125289724439867 0.4755700325732899 0.40131578947368424 0.43504098360655735 0.4922879177377892 0.4166666666666667 0.4612573099415205 0.48376313276026744 0.375 0.1875 0.47099447513812154 0.5451923076923076 0.49583333333333335 0.55 0.3235294117647059 0.4565767284991568 0.3382352941176471 0.3333333333333333 0.5145833333333333 0.49139953088350274 0.47125289724439867 0.55 0.47058823529411764 0.3611111111111111 0.586472602739726 0.5
0.5;0.5 0.4417355371900826 0.46747967479674796 0.5 0.49556962025316453 0.4917677642980936 0.5555555555555556 0.46875 0.4 0.44902482269503546 0.47125289724439867 0.4642857142857143 0.49139953088350274 0.75 0.41712555066079293 0.4375 0.4107142857142857 0.47125289724439867 0.46127717391304346 0.5 0.75 0.5 0.5
0.75;0.41002098635886675 0.4827586206896552 0.5071428571428571 0.3125 0.5714285714285714 0.375 0.46208425720620844 0.4117647058823529 0.75 0.38333333333333336 0.4474003466204506 0.6 0.46487603305785125 0.44490358126721763 0.4027777777777778 0.75 0.49556962025316453 0.4917677642980936 0.5481927710843374 0.625 0.4409722222222222
